Card ID,Name,Type,Deck,Players,Cost,Prerequisite,Card Text,Bonus Points,banned,is_no,dealt,drafted,played,won,ADP,play_ratio,win_ratio,PWR,PWR_no_log,PWR_normalized
G084,Horse Barn,Minor Improvement,G,,,1 Occupation,"Whenever you sow, each field you sow that is orthogonally adjacent to exactly 1 stable gets an additional 1 grain or 1 vegetable. Each field that is orthogonally adjacent to 2 or more stables, gets an additional 2 grain or 2 vegetables.",,False,False,426.0,250.0,181.0,54.0,5.41,0.4248826291,0.2983425414,1.81,1.7208221706,
G45284,Horseman,Occupation,G4,,,,"At the start of each Harvest, you receive 1 Sheep/Wild boar/Cattle if you have 1/2/3+ fenced stable(s).",,False,True,758.0,558.0,284.0,109.0,5.37,0.3746701847,0.3838028169,2.05,1.9819444371,
623,Hotshot,Occupation,G7,,,,,,False,False,271.0,181.0,92.0,22.0,5.75,0.3394833948,0.2391304348,1.16,1.0714858701,
624,Houseboat,Minor Improvement,,,,,,,False,True,,,,,,,,,,
K120,House Goat,Minor Improvement,K,,,,"In each feeding phase, you receive 1 food. Apart from the goat, you cannot hold any other animal in your home.",1,False,True,1111.0,1094.0,1056.0,315.0,1.9,0.9504950495,0.2982954545,4.05,4.0350625972,
K282,House Steward,Occupation,K,3+,,,"If there are still 1/3/6/9 rounds to play, you immediately receive 1/2/3/4 wood. At the end of the game, players with the most rooms in their home each receive 3 bonus points.",3 for most rooms,False,True,1048.0,940.0,724.0,239.0,3.6,0.6908396947,0.3301104972,3.26,3.181408418,
WM031,Humble Farmboy,Occupation,Wm,,,,"If there are still 1/3/6/9 rounds to play, you immediately receive 1/2/3/4 Wood. At the end of the game, all players with the fewest cards in front of them receive 3 Bonus Points. (Count Occupations plus Improvements and exclude Begging cards.)",,False,True,838.0,715.0,479.0,134.0,4.47,0.5715990453,0.2797494781,2.28,2.227122507,
WM032,Hunter,Occupation,Wm,,,,"Whenever you receive animals outside the Breeding phase of a Harvest, you may immediately convert them into Food. Take 2/3/4 Food for each Sheep/Wild Boar/Cattle converted.",,False,True,783.0,519.0,264.0,60.0,5.36,0.337164751,0.2272727273,1.09,1.0241993001,
G44315,Huntsman’s Rifle,Minor Improvement,G4,,1S 1W,,"Whenever you receive Wild boar outside the Breeding phase of a Harvest, you may immediately convert them into 4 Food each.",1,False,True,718.0,505.0,276.0,66.0,4.88,0.3844011142,0.2391304348,1.31,1.251319227,
E178,Hut Builder,Occupation,E,4+,,,"Play this card during Round 1-4 and at the start of Round 11 you can extend your hut by 1 room at no cost, as long as you have not turned it into a stone house.",,False,True,1006.0,965.0,878.0,255.0,1.97,0.8727634195,0.2904328018,3.62,3.5922603009,
631,Hydroponics,Minor Improvement,G7,,,,,,False,True,352.0,344.0,261.0,86.0,3.41,0.7414772727,0.3295019157,3.49,3.4233965268,
G66201,Ice Cooler,Minor Improvement,G6,,1C,Wood Hut,"When you play this card, you receive 3 food. After playing this card, the next player to have a Stone house (who currently doesn’t have a Stone house) receives 2 Bonus points.",,False,True,488.0,400.0,319.0,101.0,4.46,0.6536885246,0.3166144201,2.96,2.8176458928,
633,Icecreamseller,Occupation,,,,,,,False,True,,,,,,,,,,
FR087,Immigrants Son,Occupation,Fr,,,,"When you play your 5th, 6th and 7th Occupation, you can Plow 1 field immediately afterward. (You cannot Plow immediately if you play this card as your 5th, 6th, or 7th Occupation.)",,False,True,1005.0,953.0,808.0,243.0,2.76,0.8039800995,0.3007425743,3.45,3.3900335663,
G67184,Imported Timber,Minor Improvement,G6,,1W,No Occupations,"When you play this card, you may immediately take a ”Fences” action and pay 1 Wood less for each completed Round of the game.",,False,True,589.0,388.0,308.0,150.0,3.48,0.5229202037,0.487012987,3.64,3.4373218341,
G56091,Indentured Servant,Occupation,G5,,,,"Indentured Servant Once any player has renovated to a Stone house, place 2 Food on each remaining Round space. At the start of these rounds, you receive the Food. (If a player has already renovated to Stone, place the Food immediately.)",,False,True,777.0,605.0,286.0,87.0,5.12,0.3680823681,0.3041958042,1.6,1.4877014877,
637,Innovativebuilder,Occupation,,,,,,,False,True,,,,,,,,,,
638,Inspector,Occupation,G7,,,,,,False,False,150.0,138.0,102.0,25.0,3.79,0.68,0.2450980392,2.38,2.3342670401,
G45437,Interior Design,Minor Improvement,G4,,1F,,"Whenever you play another Improvement, you may pay 1 additional building resource of a type in the printed cost to receive 3 Food.",,False,True,789.0,350.0,241.0,86.0,5.37,0.3054499366,0.356846473,1.56,1.4666693713,
G034,Inventor,Occupation,G,,,,All improvements with a printed cost of 4 or more resources cost you 1 less resource of your choice.,,False,False,381.0,280.0,127.0,33.0,5.03,0.3333333333,0.2598425197,1.24,1.1886309487,
G55055,Inventory Manager,Occupation,G5,,,,"Whenever you build an Improvement, you receive your choice of 1 Wood or Clay immediately after paying its cost.",,False,True,712.0,666.0,514.0,175.0,3.85,0.7219101124,0.3404669261,3.51,3.4634175666,
U005,Investments,Minor Improvement,,,,,"You immediately receive 1 building resource of each type in which you have 5 or more building resources of that type in your supply. AFTER YOU PLAY THIS CARD, PASS IT TO THE PLAYER ON YOUR LEFT, WHO ADDS IT TO HIS/HER HAND",,False,True,,,,,,,,,,
G56600,Iron Oven,Minor Improvement,G5,,3S,,"Whenever you use the ”Bake bread” action, you can use the Iron Oven to convert 1 Grain into 6 Food. When you play this card, you may immediately take a ”Bake bread” action.",2,False,True,778.0,735.0,520.0,146.0,3.7,0.6683804627,0.2807692308,2.68,2.5674454081,
WM091,Iron Plow,Minor Improvement,Wm,,1S 1W,,"Once during the game, when you use the ”Plow 1 field” Action space, you may Plow 2 fields instead and take a ”Sow” action afterward.",,False,True,871.0,844.0,751.0,192.0,2.67,0.8622273249,0.2556591212,3.15,3.0736121998,
645,Ironpot,Minor Improvement,G7,,,,,,False,False,191.0,158.0,115.0,33.0,4.44,0.6020942408,0.2869565217,2.47,2.3823615492,
G085,Irrigation Canal,Minor Improvement,G,,1W 1S,,"Whenever you plow a field that is orthogonally adjacent to a planted field, you may take 1 grain or vegetable from that field and sow it immediately on the newly plowed field. Place 1 fewer grain or vegetable from the supply on the newly planted field.",1,False,False,165.0,94.0,56.0,12.0,5.01,0.3393939394,0.2142857143,1.04,0.9090909091,
G086,Itinerant Laborers,Minor Improvement,G,,1F,,"When you play this card, immediately take a ”Sow” action.",,False,False,459.0,325.0,188.0,53.0,5.39,0.4095860566,0.2819148936,1.65,0.0175483905,
G65995,Jeweler,Occupation,G6,,,,In the Field phase of each Harvest you may exchange exactly 2 stone for 1 Bonus Point and 3 Food.,,True,False,552.0,378.0,236.0,86.0,5.33,0.4275362319,0.3644067797,2.23,2.0936414359,
G035,Job Seeker,Occupation,G,,,,"Once in play, this card does not count as an occupation for any purpose. Whenever, at the start of a round, you have fewer occupations than any 2 other players, you may pay 1 food to immediately play an occupation.",,False,False,396.0,386.0,380.0,161.0,1.59,0.9595959596,0.4236842105,5.81,5.7622275385,
G45585,Joiner,Occupation,G4,,,,"Whenever you use a Family member’s action to take Food, you receive an additional 1 Wood.",,False,True,880.0,806.0,701.0,195.0,2.72,0.7965909091,0.2781740371,3.17,3.1430053541,
FR088,Journeyman,Occupation,Fr,,,,"Once you have a Stone house, you can pay 1 Food at the start of each round for 1 animal of your choice.",,False,True,844.0,722.0,380.0,137.0,4.55,0.4502369668,0.3605263158,2.32,2.2334568649,
I237,Juggler,Occupation,I,4+,,,"Whenever you use the Travelling Players action on an Action space, you can take twice as much food as is on the card.",,False,True,788.0,309.0,173.0,31.0,5.54,0.2195431472,0.1791907514,0.56,0.5327643807,
U006,Jungle,Minor Improvement,,,,2 Occupations,"At the start of each Round, add 1 Food to one of the Wood accumulation spaces with the fewest Wood.",1,False,True,,,,,,,,,,
654,Junglefarmer,Occupation,G7,,,,,,False,False,278.0,186.0,113.0,35.0,5.06,0.4064748201,0.3097345133,1.8,1.7030623289,
G68367,Junior Partner,Occupation,G6,,,,"Whenever any player (including you) plays a Passing card, you receive 2 food.",,False,True,584.0,437.0,222.0,55.0,5.34,0.3801369863,0.2477477477,1.35,1.2726767864,
G67866,Junk Dealer,Occupation,G6,,,,You receive 1 Clay/1 Reed whenever you use a Food/Animal accumulation space.,,False,True,539.0,195.0,89.0,16.0,5.94,0.1651205937,0.1797752809,0.42,0.4002418128,
G55776,Kelp Gatherer,Occupation,G5,,,,"Whenever another player uses the ”Fishing” Action space, they receive 1 additional Food and you receive 1 Vegetable.",,True,False,743.0,652.0,467.0,125.0,4.2,0.6285329744,0.2676659529,2.4,2.3725053698,
WM092,Keys,Minor Improvement,Wm,,1S,,"You can use the ”Build room(s) and/or Build stable(s)” Action space, even if another player has already placed a person on it.",1,False,True,807.0,768.0,526.0,114.0,3.61,0.6517967782,0.216730038,2.02,1.975853595,
G68838,Khnum,Occupation,G6,,,,"When you play this card, if you have at least 4/8 Sheep on your farm, you may immediately take a ”Family Growth with room” action/ ”Family Growth without room” action.",,False,True,523.0,423.0,161.0,43.0,4.71,0.3078393881,0.2670807453,1.17,1.101589526,
FR033,Kid’s Corner,Minor Improvement,Fr,,1R,,Your home may hold 1 additional animal. You may keep more than 1 type of animal in your home.,1,False,True,919.0,694.0,422.0,121.0,5.25,0.4591947769,0.2867298578,1.88,1.8140688968,
WM093,Kindling,Minor Improvement,Wm,,1W,,You may build Major Improvement Fireplace and Cooking Hearths with a ”Minor Improvement” action. Pay 1 Clay less for each.,,False,True,830.0,492.0,279.0,58.0,5.2,0.3361445783,0.2078853047,1.0,0.9231395629,
G55553,Kitchen Cabinet,Minor Improvement,G5,,,2 Occupations,"Whenever you select the ”Minor Improvement” action onan Action space, you can play a Major instead of a Minor Improvement.",,False,True,745.0,476.0,323.0,92.0,5.21,0.433557047,0.2848297214,1.76,1.6658305851,
FR034,Kitchen Table,Minor Improvement,Fr,,,,"For you, all ”Bake Bread” actions now read ”Bake Bread or place 1 Food from your supply on Kitchen Table.” At any time, you may return 1 Food from this card to your supply and take a ”Bake Bread” Action.",,False,True,879.0,417.0,295.0,58.0,5.74,0.3356086462,0.1966101695,0.94,0.8851132285,
G55698,Kosher Butcher,Occupation,G5,,,,"You may not convert Wild boar to Food. For every Sheep or Cattle you convert to Food, you receive 1 additional Food.",,True,False,627.0,174.0,57.0,14.0,6.25,0.0909090909,0.2456140351,0.32,0.279806374,
G44359,Kudzu,Minor Improvement,G4,,1R,1 unused space,"Place 1 Reed from the supply on 1 of your unused farmyard spaces. At the start of each round, you must place 1 Reed from the supply on another unused space orthogonally adjacent to a previously placed Reed (if able). These spaces count as used. (You may not remove the Reed or use the spaces.)",,False,True,714.0,323.0,194.0,62.0,5.5,0.2717086835,0.3195876289,1.24,1.1829474058,
666,Laborunion,Minor Improvement,G7,,,,,,False,False,165.0,151.0,118.0,28.0,3.07,0.7151515152,0.2372881356,2.42,2.4242424242,
I91,Ladder,Minor Improvement,I,,2W,,"You need 1 less reed to extend or renovate your home or to build the Water Mill I103, Half-timbered House E21, Chicken Coop I84, Holiday House I71, Mansion K144, or Corn Storehouse I86.",,False,True,930.0,751.0,515.0,124.0,3.79,0.5537634409,0.240776699,1.9,1.8012020342,
WM033,Lady in Waiting,Occupation,Wm,,,,"If you play this card during Stage 1, place 1 person still in your supply on Round 12. At the start of this round, you can pay 2 Food to move this person into your home whether or not you have room. It counts as an adult Family member and may take actions starting Round 12.",,False,True,1017.0,981.0,921.0,233.0,1.96,0.9056047198,0.2529858849,3.27,3.237394875,
G4741,Lady of the Manor,Occupation,G4,,,,"If there are still 1/3/6/9 rounds to play, you immediately receive 1/2/3/4 Wood. At the end of the game, any player who scored the maximum 4 points in the most scoring categories receives 3 Bonus points. (The scoring categories include 4 fenced stables.)",,False,True,869.0,824.0,632.0,207.0,3.27,0.7272727273,0.3275316456,3.4,3.3544667958,
670,Ladywithlamp,Occupation,,,,,,,False,True,,,,,,,,,,
WM094,Lamp Oil,Minor Improvement,Wm,,,2 animals,"Whenever you play an Occupation, you receive 1 Food before you pay the cost of the Occupation.",1,False,True,953.0,851.0,649.0,197.0,4.53,0.6810073452,0.3035439137,2.95,2.8620764762,
E147,Land Agent,Occupation,E,3+,,,"Whenever you use the 'Take 1 vegetable' Action space, also take 1 grain. When you play this card, take 1 vegetable from the supply.",,False,True,880.0,858.0,727.0,222.0,3.36,0.8261363636,0.3053645117,3.6,3.5691955912,
K126,Landing Net,Minor Improvement,K,,1R,,"Whenever you receive reed on an action space, you receive an additional 2 food. This is reduced to 1 food if you receive other building resources as well as reed.",,False,True,888.0,867.0,743.0,187.0,2.46,0.8367117117,0.2516823688,3.01,2.9435824019,
FR089,Landscape Gardener,Occupation,Fr,,,,"When you Sow, you may Sow on this card as if it were 2 fields. When you play this card, you may take a ”Sow” action. (This card does not count as a field when scoring.)",,False,True,1005.0,926.0,757.0,197.0,3.07,0.7532338308,0.2602377807,2.8,2.7928859195,
G44882,Land Surveyor,Occupation,G4,,,,"In the Field phase of each Harvest, you receive 1/2/3/4 Food for having 2/4/6/7 Plowed fields.",,False,True,746.0,446.0,232.0,70.0,5.48,0.3109919571,0.3017241379,1.34,1.2884810946,
G45371,Large Sunhat,Minor Improvement,G4,,1R,,"At the start of the returning home phases of rounds 3 and 6, you can move your person from the ”Plow 1 field” action space to an unoccupied action space and take that action. If you do not occupy ”Plow 1 field”, you receive 1 food.",,False,True,777.0,694.0,529.0,133.0,3.45,0.6808236808,0.2514177694,2.45,2.3759649469,
I88,Lasso,Minor Improvement,I,,1R,,"You can place exactly two people immediately after one another, if at least one of them uses the ”1 Wild Boar”, ”1 Cattle” or ”1 Sheep” action space.",,False,True,914.0,613.0,369.0,84.0,4.93,0.4037199125,0.2276422764,1.31,1.2275177456,
G036,Late Bloomer,Occupation,G,,,,"Whenever you have fewer family members than all of the other players and you have room in your home, you may immediately take a ”family growth” action. You need room in your home for the offspring. Place the offspring in an empty room. This family member is not considered a newborn and may take an action the same round.",,False,False,443.0,404.0,217.0,72.0,4.1,0.4898419865,0.331797235,2.32,2.2041351311,
G037,Late Sleeper,Occupation,G,,,,"At the start of each round, announce whether or not you will sleep late. If you sleep late, you place all of your people after everyone else has placed all of theirs, but you may also place a guest token.",,False,False,10.0,10.0,9.0,2.0,3.2,0.9,0.2222222222,2.86,2.8571428571,
I244,Layabout,Occupation,I,1+,,,"Once you have played this card, you may not take part in the next Harvest. (You do not need to feed your family during that Harvest.)",,False,True,851.0,695.0,473.0,130.0,5.14,0.5558166863,0.2748414376,2.18,2.0946451685,
681,Leantostable,Minor Improvement,,,,,,,False,True,,,,,,,,,,
G66489,Leftovers,Minor Improvement,G6,,,3 Occupations,"After the Feeding phase, you may put 1 Food from your supply to a farmyard space within a pasture. You can have a maximum of 1 Food for each pasture. At the end of the game, each Food is worth 1 Bonus point.",,False,True,609.0,582.0,430.0,130.0,3.38,0.7060755337,0.3023255814,3.05,2.9502097551,
683,Leggett,Minor Improvement,,,,,,,False,True,,,,,,,,,,
FR090,Lemon Trader,Occupation,Fr,,,,"Twice per round, you may exchange 1 Grain from your supply for 1 building resource, or 1 Vegetable from your supply for 2 different building resources.",,False,True,786.0,521.0,265.0,89.0,5.35,0.3371501272,0.3358490566,1.62,1.5138234467,
E47,Lettuce Patch,Minor Improvement,E,,2 food,3 Occupations,"On this card, you can plant vegetables as you would on a field. Vegetables on this field can be converted to 4 food when harvested.",1,False,True,1080.0,1013.0,851.0,244.0,2.88,0.787962963,0.2867215041,3.23,3.1744166527,
FR035,Lighthouse,Minor Improvement,Fr,,2S 1W,exactly 2 stone rooms,The Lighthouse provides room for 1 Family member.,2,False,True,875.0,734.0,528.0,132.0,3.12,0.6034285714,0.25,2.16,2.0489795918,
K118,Liquid Manure,Minor Improvement,K,,,4 animals,"Whenever you sow, place 1 additional grain or vegetable from the general supply on each new stack you sow.",,False,True,917.0,699.0,404.0,143.0,5.34,0.4405670665,0.353960396,2.23,2.0843905546,
G45622,Livestock Expert,Occupation,G4,,,,"If you play this card in Round 11 or before, you immediately double the amount of sheep, wild boar or cattle on your farm. (Take the additional animals from the supply.)",,False,True,721.0,598.0,335.0,96.0,4.86,0.4646324549,0.2865671642,1.9,1.8226284863,
WM034,Livestock Keeper,Occupation,Wm,,,,"When you play this card, you receive 1 Wild boar. If you already have a Wild boar, you receive 1 Cattle instead. In the Breeding phase of each Harvest, you may pay 1 Food to receive 2 offsprings of exactly 1 animal type that breeds instead of 1.",,False,True,981.0,891.0,736.0,245.0,3.63,0.750254842,0.3328804348,3.57,3.5338552054,
G56071,Longbowman,Occupation,G5,,,,"Whenever you use an Action space orthogonally adjacent to an animal Accumulation space, you may immediately afterward place 1 Wood from your supply on the animal Accumulation space and take 1 of the animals. The next player to use that space receives the Wood.",,False,True,528.0,106.0,24.0,8.0,6.37,0.0454545455,0.3333333333,0.22,0.1803751804,
K146,Loom,Minor Improvement,K,,2W,2 Occupations,"Whenever you have sheep during the field phase of a harvest, you receive food: 1 food if you have 1 to 3 sheep; 2 food for 4 to 6 sheep; or 3 food for 7 or more sheep. At the end of the game, you receive 1 bonus point for every 3 sheep.",1,False,True,1027.0,989.0,808.0,278.0,2.39,0.7867575463,0.3440594059,3.87,3.8191599101,
E189,Lord of the Manor,Occupation,E,1+,,,"At the end of the game, you receive 1 bonus point in each scoring category where you have scored the maximum 4 points. (The bonus point is also awarded for 4 fenced stables.)",1 per maxed category,False,True,1050.0,1046.0,800.0,314.0,2.04,0.7619047619,0.3925,4.27,4.2293877551,
G66186,Lorelei,Minor Improvement,G6,,1S,,"Whenever any player uses the ”Fishing” Action space, you may pay that player 1 Food to receive 1 Grain.",1,False,True,574.0,554.0,479.0,129.0,2.94,0.8344947735,0.2693110647,3.21,3.1569315949,
694,Lotusroots,Minor Improvement,G7,,,,,,False,False,273.0,228.0,169.0,36.0,3.69,0.619047619,0.2130177515,1.88,1.8503896779,
K291,Lover,Occupation,K,3+,4 food,,"When you play this card, immediately carry out a 'Family growth even without room in the hut or house' action.",,True,False,21.0,20.0,20.0,11.0,1.45,0.9523809524,0.55,7.48,7.4829931973,
K107,Lumber,Minor Improvement,K,,1S,,"When you play this card, you receive 3 wood. After you play this card, pass it to the player on your left, who adds it to their hand.",,False,True,927.0,781.0,638.0,175.0,4.91,0.6882416397,0.2742946708,2.7,0.0169082861,
697,Lumberjack,Occupation,,,,,,,False,True,,,,,,,,,,
698,Lumbermill,Minor Improvement,,,,,,,False,True,,,,,,,,,,
G44280,Lumber Pile,Minor Improvement,G4,,,,"When you play this card, you can return up to 3 stables from your farmyard to your supply and receive 3 Wood for each.",,False,True,726.0,439.0,288.0,71.0,4.93,0.3966942149,0.2465277778,1.4,1.3146207748,
G44926,Machete,Minor Improvement,G4,,1W,,During the Field phase of each Harvest you may harvest all the goods planted in 1 of your fields.,,False,True,782.0,739.0,555.0,145.0,3.58,0.7097186701,0.2612612613,2.65,2.5916124382,
E38,Madonna Statue,Minor Improvement,E,,,Remove 2 played Improvements,The Madonna Statue has no effect.,2,False,True,866.0,717.0,439.0,176.0,5.02,0.5069284065,0.4009111617,2.9,2.8173565638,
702,Madscientist,Occupation,G7,,,,,,False,False,342.0,234.0,132.0,36.0,4.74,0.3859649123,0.2727272727,1.5,1.4581909319,
G087,Magic Beans,Minor Improvement,G,,1 Cattle,,"When you play this card, you receive 2 vegetables.",,False,False,497.0,293.0,188.0,56.0,5.29,0.3782696177,0.2978723404,1.61,0.0085620104,
K311,Magician,Occupation,K,4+,,,"Whenever you use your last person to choose the 'Travelling Players' action on an Action space, take an additional 1 grain and 1 food.",,False,True,863.0,799.0,650.0,158.0,3.39,0.7531865585,0.2430769231,2.62,2.5752231546,
G64915,Magnet,Minor Improvement,G6,,1S,,"At the end of each round, if you have no Stone in your supply, you may take 1 Stone from an accumulating Stone Action space.",1,False,True,599.0,523.0,404.0,120.0,4.46,0.674457429,0.297029703,2.86,2.8194090575,
E190,Maid,Occupation,E,1+,,,"Once you have built a Clay hut, place 1 food on each remaining Round space. At the start of these rounds, take the food.",,False,True,819.0,324.0,127.0,22.0,6.09,0.1550671551,0.1732283465,0.38,0.356548838,
WM035,Mailman,Occupation,Wm,,,,"Place 2 Wood, 2 Clay, 1 Reed, and 1 Stone on four different revealed Action spaces respectively (occupied or unoccupied.) Afterward, any player (including you) who uses one of these spaces, may also take the extra resource(s) by paying you 1 Food first.",,False,True,843.0,492.0,248.0,84.0,6.05,0.2941874259,0.3387096774,1.42,1.314430031,
708,Major,Occupation,G7,,,,,,False,True,319.0,269.0,187.0,30.0,4.44,0.5862068966,0.1604278075,1.34,1.3362996951,
E23,Manger,Minor Improvement,E,,2 wood,,"At the end of the game, if your pastures occupy 6/7/8/9+ farmyard spaces, you receive 1/2/3/4 bonus points.",1/2/3/4 for 6/7/8/9+ pasture spaces,False,True,902.0,483.0,296.0,102.0,5.03,0.3281596452,0.3445945946,1.62,1.5608814389,
G67867,Mangrove Tree,Minor Improvement,G6,,1W,1 Occupation,"Whenever you use a Person to take either the Take 1 Reed” accumulation action space or the ”Fishing” action space, you receive 1 Wood from the supply.",,False,True,499.0,395.0,283.0,59.0,4.46,0.5671342685,0.2084805654,1.69,1.6532813229,
I231,Manservant,Occupation,I,1+,,,"When you build a Stone house, place 3 food on each remaining Round space. At the start of these rounds, take the food.",,False,True,878.0,751.0,417.0,138.0,4.08,0.4749430524,0.3309352518,2.25,2.191517206,
K144,Mansion,Minor Improvement,K,,3W 3C 2R 3S,,"At the end of the game, you receive 2 bonus points for each room in your stone house. In total, you receive 4 points per room instead of the usual 2 points.",,False,True,1060.0,966.0,481.0,190.0,2.92,0.4537735849,0.395010395,2.56,2.4754694566,
FR091,Manual Labourer,Occupation,Fr,,,,"At the end of each round in which you received exactly 1 type of building resource (in any way), you also receive 1 more building resource of that type.",,False,True,753.0,346.0,200.0,61.0,5.58,0.2656042497,0.305,1.16,1.0878391197,
K277,Manufacturer,Occupation,K,3+,,,"Once you have a Clay hut or a Stone house, the Cabinetmaker's, Pottery and Basket Weaver's are Minor improvements for you and their cost is reduced by 2 resources of your choice.",,False,True,875.0,826.0,565.0,153.0,3.98,0.6457142857,0.2707964602,2.5,2.4360628499,
I92,Manure,Minor Improvement,I,,,2 animals,"At the end of each round that does not end with a harvest, you can take 1 grain or vegetable from each of your fields and place it in your personal supply.",,False,True,808.0,424.0,193.0,49.0,5.78,0.2388613861,0.2538860104,0.87,0.7541168625,
G66310,Manure Shoveler,Occupation,G6,,,,When you have 2/4/6+ Animals you receive one Grain/Vegetable/Grain and Vegetable before you take a Sow action.,,False,True,572.0,552.0,440.0,159.0,3.09,0.7692307692,0.3613636364,3.97,3.9349287077,
FR036,March,Minor Improvement,Fr,,,,"When you play this card, you may return 2 different animals to the general supply to Plow 2 fields.",,False,True,816.0,613.0,407.0,110.0,4.69,0.4987745098,0.2702702703,1.93,1.8358694829,
G45318,Margrave,Occupation,G4,,,,"If you live in a Stone house, you receive 2 Food whenever a player renovates and you receive 1 Bonus point at the end of the game for every opponent who does not live in a Stone house.",,False,True,722.0,478.0,241.0,75.0,5.76,0.3337950139,0.3112033195,1.48,1.4039247496,
G68562,Market,Minor Improvement,G6,,2W 2C,,"When you play this card, you receive 1 Grain, 1 Vegetable and 2 Food.",,False,True,589.0,562.0,500.0,126.0,3.15,0.8488964346,0.252,3.06,2.9765704584,
I245,Market Crier,Occupation,I,3+,,,"Whenever you use the 'Take 1 grain' Action space, you can take an additional 1 grain and 1 vegetables. If you do this, the other players each receive 1 grain from the supply.",,False,True,884.0,720.0,561.0,114.0,4.54,0.6346153846,0.2032085561,1.84,1.7995844985,
E39,Market Stall,Minor Improvement,E,,1 Grain,,"When you play this card, you receive 1 vegetable. After you play this card, pass it to the player on your left.",,False,True,859.0,446.0,233.0,62.0,5.55,0.2712456345,0.2660944206,1.03,0.0044253188,
722,Marketwomen,Occupation,K,,,,,,False,True,1067.0,1043.0,983.0,285.0,2.08,0.9212746017,0.2899287894,3.82,3.7769542389,
FR092,Martial Artist,Occupation,Fr,,,,"At the start of each Harvest, you may discard up to 2 Minor Improvements from your hand to receive 2 Food each.",,False,True,801.0,281.0,130.0,51.0,5.82,0.1622971286,0.3923076923,0.91,0.8606000741,
E191,Mason,Occupation,E,1+,,,"Once during the game, at any time after your stone house reaches at least 4 rooms, you may extend it by 1 room at no cost.",,False,True,1025.0,983.0,847.0,300.0,1.96,0.8263414634,0.3541912633,4.18,4.1663752782,
G54552,Mason’s Apprentice,Occupation,G5,,,,"Once you have a Stone house, at the start of each round, you can pay 3 Stone and 2 Reed to build a room without placing a Family member.",,True,False,713.0,674.0,404.0,147.0,3.12,0.5666199158,0.3638613861,2.95,2.8213655868,
E149,Master Baker,Occupation,E,4+,,,"Whenever another player bakes, you can bake if you have a Baking improvement. If you take a Bake action yourself (not using this card), take 1 additional food.",,False,True,700.0,141.0,26.0,7.0,6.11,0.0371428571,0.2692307692,0.14,0.1263736264,
G038,Master Baker’s Apprentice,Occupation,G,,,,"When you play this card, mark a revealed action space with an arrow marker. This action space now has the added text ”and/or bake bread”. Whenever another player bakes bread using this space, you receive 1 food from the general supply. When you play this card, you may also take the ”Bake bread” action.",,False,False,218.0,90.0,35.0,15.0,5.77,0.1605504587,0.4285714286,0.98,0.9548773638,
E154,Master Brewer,Occupation,E,1+,,,"In the Feeding phase of each Harvest, the Master Brewer can convert up to 1 grain to 3 food.",,False,True,827.0,287.0,98.0,28.0,6.05,0.1185006046,0.2857142857,0.48,0.4589985934,
E151,Master Builder,Occupation,E,,,,"Once during the game, at any time after your home reaches at least 5 rooms, you may extend it by 1 room at no cost.",,False,True,871.0,599.0,343.0,125.0,5.15,0.3938002296,0.3644314869,2.05,1.9306440916,
E151,Master Builder,Occupation,G7,,,,"Once during the game, at any time after your home reaches at least 5 rooms, you may extend it by 1 room at no cost.",,False,False,278.0,159.0,72.0,32.0,5.36,0.2589928058,0.4444444444,1.64,1.5987210232,
WM036,Master Cook,Occupation,Wm,,,,"Each round, instead of placing your first Family member on an Action space, you may place it on this card and receive 2 Food and 1 Guest token to place that round. (You may not do this if you will be placing more people after your first without another player placing in between.)",,False,True,829.0,720.0,575.0,158.0,3.69,0.6936067551,0.2747826087,2.72,2.6280259836,
732,Masterfencerv2,Occupation,G4,,,,,,False,True,744.0,676.0,433.0,132.0,3.99,0.5819892473,0.3048498845,2.53,2.4818807803,
E164,Master Forester,Occupation,E,4+,,,"Include the '2 Wood' Action card from the 3-player game as an additional forest. At the start of each round, place 2 wood on the card. Any player who uses this action must pay you 2 food.",,False,True,767.0,235.0,117.0,28.0,5.75,0.1525423729,0.2393162393,0.52,0.445737082,
G44809,Master Huntsman,Occupation,G4,,,,"Whenever you build a Major Improvement, you receive 1 Wild boar. When you play this card, you receive 1 Wild boar.",,False,True,881.0,827.0,748.0,219.0,2.68,0.8490351873,0.2927807487,3.55,3.522674161,
FR093,Mastermind,Occupation,Fr,,,,"At the end of the game, you receive 1 Bonus Point for each card with a Bonus point symbol that you play after this one. (An example of a Bonus point symbol appears on the bottom of this card.)",,False,True,806.0,619.0,376.0,107.0,4.59,0.4665012407,0.2845744681,1.9,1.8208327362,
736,Masterofnone,Occupation,G6,,,,,,False,False,483.0,387.0,281.0,76.0,4.77,0.5817805383,0.2704626335,2.25,2.1438623415,
G68998,Master Oven,Minor Improvement,G6,,2C 2S,4 Occupations,"Whenever you use a Bread baking action, you can use the Master Oven to convert up to 2 Grain into 5 Food each. When you play this card, you can immediately take the ”Bake bread” action.",3,False,True,535.0,495.0,311.0,96.0,3.67,0.5813084112,0.308681672,2.56,2.480992878,
G45693,Master Renovator,Occupation,G4,,,,"At the end of the Work phases in rounds 7 and 9, you may take a ”Renovation” action without placing a person and pay 1 less building resource.",,False,True,791.0,472.0,184.0,53.0,5.42,0.2326169406,0.2880434783,0.96,0.9103776178,
